rank_among_missing,simplified,zipf,pinyin,meaning_cedict,in_cedict
231,部门,5.32,bu4 men2,department; branch; section; division; CL:個|个[ge4],yes
232,改革,5.31,gai3 ge2,"reform; CL:次[ci4],種|种[zhong3],項|项[xiang4]; to reform",yes
233,母亲,5.31,mu3 qin1,mother; also pr. [mu3 qin5]; CL:個|个[ge4],yes
234,系列,5.31,xi4 lie4,series; set,yes
235,联系,5.31,lian2 xi4,variant of 聯繫|联系[lian2 xi4],yes
236,警察,5.31,jing3 cha2,police; police officer,yes
237,记录,5.31,ji4 lu4,to record; record (written account); note-taker; record (in sports etc); CL:個|个[ge4],yes
238,不仅,5.30,bu4 jin3,"not just; not limited to; (as a correlative conjunction) not only (..., but also ...)",yes
239,人物,5.30,ren2 wu4,"person; personage; figure (esp. sb of importance); character (in a play, novel etc); (genre of traditional Chinese paint",yes
240,别人,5.30,bie2 ren5,other people; others; other person,yes
241,意见,5.30,yi4 jian4,"idea; opinion; suggestion; objection; complaint; CL:點|点[dian3],條|条[tiao2]",yes
242,执行,5.30,zhi2 xing2,to implement; to carry out; to execute; to run,yes
243,用户,5.30,yong4 hu4,user; consumer; subscriber; customer,yes
244,确定,5.30,que4 ding4,definite; certain; fixed; to fix (on sth); to determine; to be sure; to ensure; to make certain; to ascertain; to clinch,yes
245,解释,5.30,jie3 shi4,explanation; to explain; to interpret; to resolve; CL:個|个[ge4],yes
246,中央,5.29,zhong1 yang1,central; middle; center; central authorities (of a state),yes
247,以前,5.29,yi3 qian2,before; formerly; previous; ago,yes
248,俄罗斯,5.29,E2 luo2 si1,Russia,yes
249,关注,5.29,guan1 zhu4,to pay attention to; to follow sth closely; to follow (on social media); concern; interest; attention,yes
250,分别,5.29,fen1 bie2,to part; to leave each other; to distinguish; to tell apart; difference; distinction; in different ways; differently; se,yes
251,区域,5.29,qu1 yu4,area; region; district,yes
252,工程,5.29,gong1 cheng2,"engineering; an engineering project; project; undertaking; CL:個|个[ge4],項|项[xiang4]",yes
253,父亲,5.29,fu4 qin1,father; also pr. [fu4 qin5]; CL:個|个[ge4],yes
254,简单,5.29,jian3 dan1,simple; not complicated,yes
255,结构,5.29,jie2 gou4,"structure; composition; makeup; architecture; CL:座[zuo4],個|个[ge4]",yes
256,综合,5.29,zong1 he2,comprehensive; composite; synthesized; mixed; to sum up; to integrate; to synthesize,yes
257,讨论,5.29,tao3 lun4,to discuss; to talk over,yes
258,采用,5.29,cai3 yong4,to adopt; to employ; to use,yes
259,一位,5.28,,,no
260,不到,5.28,bu4 dao4,not to arrive; not reaching; insufficient; less than,yes
261,全部,5.28,quan2 bu4,whole; all,yes
262,发表,5.28,fa1 biao3,to issue; to publish,yes
263,宣布,5.28,xuan1 bu4,variant of 宣布[xuan1 bu4],yes
264,最近,5.28,zui4 jin4,recently; soon; nearest,yes
265,社区,5.28,she4 qu1,community; neighborhood,yes
266,那里,5.28,na4 li5,there; that place,yes
267,介绍,5.27,jie4 shao4,to introduce (sb to sb); to give a presentation; to present (sb for a job etc); introduction,yes
268,以为,5.27,yi3 wei2,to think; to believe (often with the implication that the belief is mistaken – unless referring to one's own current bel,yes
269,坚持,5.27,jian1 chi2,to persevere with; to persist in; to insist on,yes
270,学院,5.27,xue2 yuan4,college; educational institute; school; faculty; CL:所[suo3],yes
271,意思,5.27,yi4 si5,"idea; opinion; meaning; wish; desire; interest; fun; token of appreciation, affection etc; CL:個|个[ge4]; to give as a sma",yes
272,范围,5.27,fan4 wei2,range; scope; limit; extent; CL:個|个[ge4],yes
273,例如,5.26,li4 ru2,for example; for instance; such as,yes
274,共同,5.26,gong4 tong2,common; joint; jointly; together; collaborative,yes
275,力量,5.26,li4 liang5,power; force; strength,yes
276,取得,5.26,qu3 de2,to acquire; to get; to obtain,yes
277,实施,5.26,shi2 shi1,to implement; to carry out,yes
278,旅游,5.26,lu:3 you2,trip; journey; tourism; travel; tour; to travel,yes
279,民族,5.26,min2 zu2,nationality; ethnic group; CL:個|个[ge4],yes
280,组成,5.26,zu3 cheng2,to form; to make up; to constitute,yes
281,保证,5.25,bao3 zheng4,guarantee; to guarantee; to ensure; to safeguard; to pledge; CL:個|个[ge4],yes
282,健康,5.25,jian4 kang1,health; healthy,yes
283,大量,5.25,da4 liang4,great amount; large quantity; bulk; numerous; generous; magnanimous,yes
284,实际,5.25,shi2 ji4,reality; practice; practical; realistic; real; actual,yes
285,容易,5.25,rong2 yi4,easy; straightforward; likely; liable to; apt to,yes
286,持续,5.25,chi2 xu4,to continue; to persist; to last; sustainable; preservation,yes
287,电视,5.25,dian4 shi4,"television; TV; CL:臺|台[tai2],部[bu4]",yes
288,看看,5.25,kan4 kan5,to take a look at; to examine; to survey; (coll.) pretty soon,yes
289,精神,5.25,jing1 shen2,spirit; mind; consciousness; thought; mental; psychological; essence; gist; CL:個|个[ge4],yes
290,考虑,5.25,kao3 lu:4,to think over; to consider; consideration,yes
291,位于,5.24,wei4 yu2,to be located at; to be situated at; to lie,yes
292,免费,5.24,mian3 fei4,free (of charge),yes
293,印度,5.24,Yin4 du4,India,yes
294,变成,5.24,bian4 cheng2,to change into; to turn into; to become,yes
295,另外,5.24,ling4 wai4,additional; in addition; besides; separate; other; moreover; furthermore,yes
296,声音,5.24,sheng1 yin1,voice; sound; CL:個|个[ge4],yes
